taxlevel	rankID	taxon	daughterlevels	total	01_dcm_SernOcean	02_surface_SernOcean	03_meso_SPacific	04_surface_NAtlantic	05_dcm_SPacific	06_surface_SPacific
6	0.2.2.1.1.2.2	unclassified	0	4	0	0	0	0	3	1
5	0.2.2.1.1.3	Sva0996_marine_group	1	130	0	0	78	14	38	0
6	0.2.2.1.1.3.1	unclassified	0	130	0	0	78	14	38	0
3	0.2.2.2	Actinobacteria	6	171	2	2	145	3	16	3
4	0.2.2.2.1	Actinobacteria_unclassified	1	21	0	1	12	3	2	3
5	0.2.2.2.1.1	Actinobacteria_unclassified	1	21	0	1	12	3	2	3
6	0.2.2.2.1.1.1	unclassified	0	21	0	1	12	3	2	3
4	0.2.2.2.2	Corynebacteriales	2	5	0	0	5	0	0	0
5	0.2.2.2.2.1	Corynebacteriaceae	1	1	0	0	1	0	0	0
6	0.2.2.2.2.1.1	Corynebacterium	0	1	0	0	1	0	0	0
5	0.2.2.2.2.2	Mycobacteriaceae	1	4	0	0	4	0	0	0
6	0.2.2.2.2.2.1	Mycobacterium	0	4	0	0	4	0	0	0
4	0.2.2.2.3	Frankiales	1	2	1	0	1	0	0	0
5	0.2.2.2.3.1	Geodermatophilaceae	2	2	1	0	1	0	0	0
6	0.2.2.2.3.1.1	Blastococcus	0	1	1	0	0	0	0	0
6	0.2.2.2.3.1.2	Modestobacter	0	1	0	0	1	0	0	0
4	0.2.2.2.4	Micrococcales	4	112	1	1	96	0	14	0
5	0.2.2.2.4.1	Brevibacteriaceae	1	2	0	0	2	0	0	0
6	0.2.2.2.4.1.1	Brevibacterium	0	2	0	0	2	0	0	0
5	0.2.2.2.4.2	Microbacteriaceae	2	88	0	1	75	0	12	0
6	0.2.2.2.4.2.1	Microbacterium	0	56	0	1	47	0	8	0
6	0.2.2.2.4.2.2	unclassified	0	32	0	0	28	0	4	0
5	0.2.2.2.4.3	Micrococcaceae	1	1	1	0	0	0	0	0
6	0.2.2.2.4.3.1	unclassified	0	1	1	0	0	0	0	0
5	0.2.2.2.4.4	Micrococcales_unclassified	1	21	0	0	19	0	2	0
6	0.2.2.2.4.4.1	unclassified	0	21	0	0	19	0	2	0
4	0.2.2.2.5	Micromonosporales	1	2	0	0	2	0	0	0
5	0.2.2.2.5.1	Micromonosporaceae	1	2	0	0	2	0	0	0
6	0.2.2.2.5.1.1	unclassified	0	2	0	0	2	0	0	0
4	0.2.2.2.6	Propionibacteriales	2	29	0	0	29	0	0	0
5	0.2.2.2.6.1	Nocardioidaceae	2	28	0	0	28	0	0	0
6	0.2.2.2.6.1.1	Nocardioides	0	26	0	0	26	0	0	0
6	0.2.2.2.6.1.2	unclassified	0	2	0	0	2	0	0	0
5	0.2.2.2.6.2	Propionibacteriales_unclassified	1	1	0	0	1	0	0	0
6	0.2.2.2.6.2.1	unclassified	0	1	0	0	1	0	0	0
3	0.2.2.3	Actinobacteria_unclassified	1	150	0	0	76	33	35	6
4	0.2.2.3.1	Actinobacteria_unclassified	1	150	0	0	76	33	35	6
5	0.2.2.3.1.1	Actinobacteria_unclassified	1	150	0	0	76	33	35	6
6	0.2.2.3.1.1.1	unclassified	0	150	0	0	76	33	35	6
2	0.2.3	Bacteria_unclassified	1	8372	1304	1119	1657	1596	1461	1235
3	0.2.3.1	Bacteria_unclassified	1	8372	1304	1119	1657	1596	1461	1235
4	0.2.3.1.1	Bacteria_unclassified	1	8372	1304	1119	1657	1596	1461	1235
5	0.2.3.1.1.1	Bacteria_unclassified	1	8372	1304	1119	1657	1596	1461	1235
6	0.2.3.1.1.1.1	unclassified	0	8372	1304	1119	1657	1596	1461	1235
2	0.2.4	Bacteroidetes	5	6167	1747	2086	417	911	256	750
3	0.2.4.1	Bacteroidetes_unclassified	1	992	455	126	73	135	50	153
4	0.2.4.1.1	Bacteroidetes_unclassified	1	992	455	126	73	135	50	153
5	0.2.4.1.1.1	Bacteroidetes_unclassified	1	992	455	126	73	135	50	153
6	0.2.4.1.1.1.1	unclassified	0	992	455	126	73	135	50	153
3	0.2.4.2	Cytophagia	3	211	7	3	31	12	33	125
4	0.2.4.2.1	Cytophagales	4	208	7	3	30	12	32	124
5	0.2.4.2.1.1	Cyclobacteriaceae	1	1	0	0	0	0	1	0
6	0.2.4.2.1.1.1	Algoriphagus	0	1	0	0	0	0	1	0
5	0.2.4.2.1.2	Cytophagaceae	1	1	0	0	0	0	1	0
6	0.2.4.2.1.2.1	unclassified	0	1	0	0	0	0	1	0
5	0.2.4.2.1.3	Cytophagales_unclassified	1	21	4	0	5	0	4	8
6	0.2.4.2.1.3.1	unclassified	0	21	4	0	5	0	4	8
5	0.2.4.2.1.4	Flammeovirgaceae	2	185	3	3	25	12	26	116
6	0.2.4.2.1.4.1	Marinoscillum	0	177	2	1	24	10	26	114
6	0.2.4.2.1.4.2	unclassified	0	8	1	2	1	2	0	2
4	0.2.4.2.2	Order_II	1	1	0	0	0	0	1	0
5	0.2.4.2.2.1	Rhodothermaceae	1	1	0	0	0	0	1	0
6	0.2.4.2.2.1.1	unclassified	0	1	0	0	0	0	1	0
4	0.2.4.2.3	Order_III	1	2	0	0	1	0	0	1
5	0.2.4.2.3.1	Unknown_Family	2	2	0	0	1	0	0	1
6	0.2.4.2.3.1.1	Gracilimonas	0	1	0	0	0	0	0	1
6	0.2.4.2.3.1.2	unclassified	0	1	0	0	1	0	0	0
3	0.2.4.3	Flavobacteriia	1	4961	1284	1957	313	764	173	470
4	0.2.4.3.1	Flavobacteriales	4	4961	1284	1957	313	764	173	470
5	0.2.4.3.1.1	Cryomorphaceae	4	170	67	3	6	37	8	49
6	0.2.4.3.1.1.1	Fluviicola	0	14	0	0	0	1	0	13
6	0.2.4.3.1.1.2	NS10_marine_group	0	42	18	0	0	24	0	0
6	0.2.4.3.1.1.3	Owenweeksia	0	67	39	1	2	9	8	8
6	0.2.4.3.1.1.4	unclassified	0	47	10	2	4	3	0	28
5	0.2.4.3.1.2	Flavobacteriaceae	26	4395	1090	1859	278	681	130	357
6	0.2.4.3.1.2.1	Actibacter	0	2	0	0	0	1	0	1
6	0.2.4.3.1.2.2	Aquimarina	0	7	1	6	0	0	0	0
6	0.2.4.3.1.2.3	Bizionia	0	2	2	0	0	0	0	0
6	0.2.4.3.1.2.4	Croceibacter	0	2	0	0	2	0	0	0
6	0.2.4.3.1.2.5	Dokdonia	0	3	1	1	1	0	0	0
6	0.2.4.3.1.2.6	Flavobacterium	0	3	1	1	0	0	0	1
6	0.2.4.3.1.2.7	Galbibacter	0	1	0	0	0	0	1	0
6	0.2.4.3.1.2.8	Gelidibacter	0	1	0	1	0	0	0	0
6	0.2.4.3.1.2.9	Gilvibacter	0	4	2	2	0	0	0	0
6	0.2.4.3.1.2.10	Kordia	0	3	1	2	0	0	0	0
6	0.2.4.3.1.2.11	Lacinutrix	0	8	2	6	0	0	0	0
6	0.2.4.3.1.2.12	Leeuwenhoekiella	0	22	0	0	19	0	2	1
6	0.2.4.3.1.2.13	Lutibacter	0	2	2	0	0	0	0	0
6	0.2.4.3.1.2.14	Mesonia	0	2	0	0	2	0	0	0
6	0.2.4.3.1.2.15	Muricauda	0	5	0	0	3	0	0	2
6	0.2.4.3.1.2.16	Myroides	0	1	0	0	1	0	0	0
6	0.2.4.3.1.2.17	NS4_marine_group	0	132	2	1	3	75	4	47
6	0.2.4.3.1.2.18	NS5_marine_group	0	237	1	0	16	126	29	65
6	0.2.4.3.1.2.19	Polaribacter	0	1168	390	778	0	0	0	0
6	0.2.4.3.1.2.20	Salegentibacter	0	9	0	0	9	0	0	0
6	0.2.4.3.1.2.21	Tenacibaculum	0	65	14	44	0	7	0	0
6	0.2.4.3.1.2.22	Ulvibacter	0	1	0	1	0	0	0	0
6	0.2.4.3.1.2.23	Vitellibacter	0	2	0	0	1	1	0	0
6	0.2.4.3.1.2.24	Winogradskyella	0	1	0	0	0	0	0	1
6	0.2.4.3.1.2.25	Zunongwangia	0	82	0	0	70	0	12	0
6	0.2.4.3.1.2.26	unclassified	0	2630	671	1016	151	471	82	239
5	0.2.4.3.1.3	Flavobacteriales_unclassified	1	370	127	95	24	44	22	58
6	0.2.4.3.1.3.1	unclassified	0	370	127	95	24	44	22	58
5	0.2.4.3.1.4	NS9_marine_group	1	26	0	0	5	2	13	6
6	0.2.4.3.1.4.1	unclassified	0	26	0	0	5	2	13	6
3	0.2.4.4	Sphingobacteriia	1	2	0	0	0	0	0	2
4	0.2.4.4.1	Sphingobacteriales	1	2	0	0	0	0	0	2
5	0.2.4.4.1.1	Saprospiraceae	1	2	0	0	0	0	0	2
6	0.2.4.4.1.1.1	unclassified	0	2	0	0	0	0	0	2
3	0.2.4.5	WCHB1-32	1	1	1	0	0	0	0	0
4	0.2.4.5.1	WCHB1-32_unclassified	1	1	1	0	0	0	0	0
5	0.2.4.5.1.1	WCHB1-32_unclassified	1	1	1	0	0	0	0	0
6	0.2.4.5.1.1.1	unclassified	0	1	1	0	0	0	0	0
2	0.2.5	Candidate_division_OD1	1	1	0	0	1	0	0	0
3	0.2.5.1	Candidate_division_OD1_unclassified	1	1	0	0	1	0	0	0
