label,run_id,temp_c,total_num_sequences,species_richness,SW_index
01_dcm_SernOcean,ERR599104,-0.78154,8732,9,1.003610566
02_surface_SernOcean,ERR599090,0.67108,9399,5,0.974619646
03_meso_SPacific,ERR598999,7.212238,9539,20,1.714318417
04_surface_NAtlantic,ERR599078,14.28065,9551,15,1.544702156
05_dcm_SPacific,ERR598948,24.69625,9588,17,1.349562238
06_surface_SPacific,ERR598992,26.54413,9706,13,1.513954316
